"","CensusTract","State","County","Urban","OHU2010","PCTGQTRS","LILATracts_1And10","LILATracts_halfAnd10","LILATracts_1And20","LILATracts_Vehicle","LowIncomeTracts","PovertyRate","LA1and10","LAhalfand10","LA1and20","LATracts_half","LATracts1","LATracts10","LATracts20","LATractsVehicle_20","LAPOP1_10","LAPOP05_10","LAPOP1_20","LALOWI1_10","LALOWI05_10","LALOWI1_20","lapophalf","lalowihalf","laseniorshalf","laseniorshalfshare","lablackhalf","lablackhalfshare","laasianhalfshare","lahunvhalf","lahunvhalfshare","lasnaphalf","lasnaphalfshare","lapop1","lapop1share","lalowi1","lalowi1share","laseniors1","laseniors1share","lablack1","lablack1share","lahunv1","lahunv1share","lasnap1","lasnap1share","lalowi10","lalowi10share","laseniors10","laseniors10share","lablack10","lablack10share","lahunv10","lahunv10share","lasnap10","lasnap10share","lapop20","lapop20share","lalowi20","lalowi20share","lablack20","lablack20share","lahunv20","lahunv20share","lasnap20","lasnap20share","TractLOWI","TractSeniors","TractBlack","TractHUNV"
"15",51073100301,"Virginia","Gloucester",1,2377,0,0,0,0,0,0,6.2,1,1,1,1,1,0,0,0,1718.687791,4488.421373,1718.687791,422.4236833,1158.324277,422.4236833,4488.421373,1158.324277,719.2440836,0.129686997,365.1662981,0.065843184,0.006800425,56.74795036,0.02387377,189.4883384,0.079717433,1718.687791,0.309896825,422.4236833,0.076167271,337.6171752,0.060875798,102.0787167,0.018405827,20.65548423,0.008689728,74.62770971,0.031395755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,861,424,68
"16",51073100302,"Virginia","Gloucester",0,1858,0,0,0,0,0,1,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4598.634845,1320.585897,529.8471642,0.106309624,381.8218697,0.076609524,0.006055835,30.71542786,0.016531447,204.3608183,0.109989676,3896.621624,0.781826169,961.9299376,0.193003599,453.5187456,0.090994933,292.1906046,0.058625723,23.42797877,0.012609246,172.1827791,0.092671033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,570,403,34
"17",51073100400,"Virginia","Gloucester",0,571,0,0,0,0,0,1,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313.692986,458.8589029,262.2873506,0.195154279,89.49775146,0.066590589,0.008184524,16.97775809,0.029733377,64.22746094,0.112482418,1260.963007,0.938216523,441.4375142,0.328450531,252.8380168,0.188123524,77.04469833,0.057324924,15.53769451,0.027211374,61.79204531,0.108217242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,269,99,15
"18",51073100500,"Virginia","Gloucester",0,1557,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3828.56929,911.3605041,683.7882172,0.177284993,106.150297,0.027521467,0.008550114,114.8564729,0.073767805,238.8778107,0.153421844,3419.547477,0.886582182,824.0043353,0.213638666,613.7799703,0.159134034,82.07229647,0.021278791,107.3342691,0.068936589,213.5513638,0.137155661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,692,112,111
"19",51093280101,"Virginia","Isle of Wight",0,1548,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005.033099,1012.66209,656.9188112,0.163942803,1453.70095,0.362790354,0.003993012,52.6179656,0.033990934,234.042973,0.151190551,3810.422747,0.950941539,970.1193616,0.242106155,640.2156589,0.15977431,1270.964591,0.317186072,50.91873672,0.032893241,225.8278918,0.145883651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,657,1455,52
"20",51093280103,"Virginia","Isle of Wight",1,2641,0,0,0,0,0,0,3.2,1,1,1,1,1,0,0,0,4829.79459,5920.297958,4829.79459,775.5175984,1000.006301,775.5175984,5920.297958,1000.006301,792.9068311,0.1185212,1010.166799,0.150996532,0.011033345,48.62860182,0.01841295,87.2905166,0.03305207,4829.79459,0.72194239,775.5175984,0.115921913,627.4853345,0.093794519,737.0076065,0.110165562,38.65452765,0.014636322,69.37345417,0.026267874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,869,1229,49
"21",51093280104,"Virginia","Isle of Wight",1,1675,0.0289627,0,0,0,0,0,2.1,1,1,1,1,1,0,0,0,3854.547087,4454.000021,3854.547087,267.0009921,306.7952172,267.0009921,4454.000021,306.7952172,767.0000055,0.172204761,498.0000037,0.11180961,0.007858105,33.69082191,0.020113924,37.37522042,0.022313564,3854.547087,0.865412458,267.0009921,0.059946339,694.3540915,0.155894497,333.5285512,0.074882926,29.72522558,0.017746403,31.47487116,0.018790968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,767,498,33
"22",51093280105,"Virginia","Isle of Wight",0,1640,0,0,0,0,1,1,16.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3018.599508,958.9241831,412.760686,0.102269744,1418.241231,0.351397728,0.004158963,161.7715315,0.098641178,340.06265,0.207355274,1490.599736,0.369326,384.5688752,0.095284657,213.1472249,0.052811503,739.603511,0.183251613,70.94269993,0.043257744,163.6679894,0.099797555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,559,1844,241
"23",51093280106,"Virginia","Isle of Wight",1,1023,0.0021716,0,0,0,0,0,14.7,1,1,1,1,1,0,0,0,774.9104875,2104.705877,774.9104875,79.20723242,316.9417962,79.20723242,2104.705877,316.9417962,276.2881428,0.099995709,436.6915463,0.158049782,0.013677732,22.43684197,0.021932397,25.26566006,0.024697615,774.9104875,0.280459822,79.20723242,0.028667113,102.3685608,0.037049787,166.972553,0.060431615,11.47663191,0.011218604,9.443944121,0.009231617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,349,588,27
"24",51093280200,"Virginia","Isle of Wight",0,1470,0.0034292,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,5.974988267,5.974988267,0,1.056509273,1.056509273,0,3791.000009,956.4992058,574.0000018,0.151411238,1072.000003,0.282774994,0.006330783,28.3046357,0.019254854,211.0866751,0.143596378,3791.000009,1.000000002,956.4992058,0.252307889,574.0000018,0.151411238,1072.000003,0.282774994,28.3046357,0.019254854,211.0866751,0.143596378,1.056509273,0.000278689,1.114083171,0.000293876,1.059180707,0.000279393,0.106946794,7.27529e-05,0.370766014,0.000252222,0,0,0,0,0,0,0,0,0,0,1125,574,1072,26
"25",51093280300,"Virginia","Isle of Wight",0,2134,0.0198543,0,0,0,1,1,18.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5048.853627,1812.898047,728.0834072,0.132619928,1084.087548,0.197465856,0.004225113,135.6611806,0.063571312,409.6378626,0.191957761,4337.290014,0.790034611,1588.468916,0.2893386,626.2224226,0.114066015,1030.755918,0.187751533,116.8840855,0.054772299,350.6496738,0.164315686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,806,1098,140
"26",51093280400,"Virginia","Isle of Wight",0,1587,0.0131221,0,0,0,0,1,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4038.999994,971.3637061,583.9999975,0.144590244,927.9999984,0.229759841,0.004704135,42.23175979,0.026611065,216.5957298,0.136481241,4038.999994,0.999999999,971.3637061,0.24049609,583.9999975,0.144590244,927.9999984,0.229759841,42.23175979,0.026611065,216.5957298,0.136481241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,584,928,41
"27",51115951300,"Virginia","Mathews",0,1905,0.0018178,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302.419504,1235.421355,1104.843494,0.251043739,372.7611145,0.084699185,0.004282824,55.14486423,0.028947435,225.0008595,0.118110687,4077.063613,0.926394822,1182.210125,0.268623069,1065.979667,0.242213058,363.7683199,0.082655833,54.34896148,0.028529639,214.3015541,0.112494254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,1120,383,60
"28",51115951400,"Virginia","Mathews",0,1953,0.0187896,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4300.477684,944.638192,1059.690542,0.231525135,418.9944078,0.091543458,0.002621805,85.39873036,0.043726948,127.2996367,0.065181586,4108.831743,0.897712856,887.8799077,0.193987308,1013.454157,0.221423237,395.9944212,0.086518335,75.15175037,0.038480159,121.0324565,0.061972584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,1170,440,104
"29",51175200100,"Virginia","Southampton",0,1651,0.0030581,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,211.520152,211.520152,0,54.57163985,54.57163985,0,4251.000008,1094.844894,625.0000033,0.14702423,928.0000015,0.218301576,0.004704775,42.38694865,0.0256735,133.4727601,0.080843586,4251.000008,1.000000002,1094.844894,0.257549963,625.0000033,0.14702423,928.0000015,0.218301576,42.38694865,0.0256735,133.4727601,0.080843586,54.57163985,0.012837365,31.07061058,0.007309012,35.14683439,0.008267898,2.114089399,0.00128049,6.511219534,0.003943803,0,0,0,0,0,0,0,0,0,0,1113,625,928,44
"30",51175200200,"Virginia","Southampton",0,1130,0,1,1,0,0,1,14.2,1,1,0,0,0,1,0,0,1031.895023,1031.895023,0,494.1892668,494.1892668,0,2881.999996,1184.724159,452.9999995,0.157182512,1267.999991,0.439972238,0.001040944,24.05329279,0.0212861,178.3667885,0.157846715,2881.999996,0.999999998,1184.724159,0.411077085,452.9999995,0.157182512,1267.999991,0.439972238,24.05329279,0.0212861,178.3667885,0.157846715,494.1892668,0.171474416,171.5797534,0.05953496,376.8847972,0.130771963,10.94583008,0.009686575,67.39936707,0.059645458,0,0,0,0,0,0,0,0,0,0,1106,453,1268,24
"31",51175200300,"Virginia","Southampton",0,5,0.9913979,1,1,0,0,1,71.3,1,1,0,0,0,1,0,0,1395.000029,1395.000029,0,1362.010159,1362.010159,0,1395.000029,1362.010159,134.0000086,0.096057354,817.0000243,0.5856631,0.000716846,0,0,0,0,1395.000029,1.000000021,1362.010159,0.976351369,134.0000086,0.096057354,817.0000243,0.5856631,0,0,0,0,1362.010159,0.976351369,134.0000086,0.096057354,817.0000243,0.5856631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,134,817,0
"32",51175200400,"Virginia","Southampton",0,2474,0.0268826,0,0,0,1,1,16.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6261.175916,2035.87797,1013.666336,0.159356443,2263.451466,0.355832647,0.002515328,150.4964449,0.060831223,446.8177203,0.180605384,6070.664783,0.954356985,2005.13924,0.315223902,990.1888804,0.1556656,2203.706953,0.346440332,144.8667429,0.058555676,430.6678381,0.174077542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,1035,2288,157
"33",51175200500,"Virginia","Southampton",0,1459,0,1,1,0,1,1,13.3,1,1,0,0,0,1,0,1,1382.232994,1382.232994,0,634.3158155,634.3158155,0,3680.999996,1317.30119,580.9999986,0.157837544,1614.999999,0.438739473,0.001629992,141.4033896,0.096918019,259.978617,0.178189594,3680.999996,0.999999999,1317.30119,0.357865034,580.9999986,0.157837544,1614.999999,0.438739473,141.4033896,0.096918019,259.978617,0.178189594,634.3158155,0.172321602,245.8718026,0.066794839,685.4597826,0.186215643,69.05908151,0.047333161,96.94701944,0.06644758,0,0,0,0,0,0,0,0,0,0,1259,581,1615,134
"34",51199050203,"Virginia","York",1,2342,0,0,0,0,0,0,2.7,1,1,1,1,1,0,0,0,1366.558179,5443.595299,1366.558179,129.1911842,481.185115,129.1911842,5443.595299,481.185115,270.7118531,0.04069631,714.9197809,0.107474411,0.105763961,0,0,63.61907828,0.027164423,1366.558179,0.205435685,129.1911842,0.019421405,86.69464073,0.013032868,191.8016242,0.028833678,0,0,16.82745376,0.007185078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,320,895,0
"35",51199050204,"Virginia","York",1,1871,0,0,1,0,0,1,4.9,0,1,0,1,0,0,0,0,114.0943173,2629.776025,114.0943173,28.70155919,981.9005985,28.70155919,2629.776025,981.9005985,42.26327208,0.007248032,407.8461014,0.069944452,0.012212772,0,0,23.03436212,0.012311257,114.0943173,0.019566853,28.70155919,0.004922236,2.635099427,0.000451912,16.87430352,0.002893895,0,0,0.911128209,0.000486974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,91,1057,0
"36",51199050205,"Virginia","York",1,1666,0,0,0,0,0,0,1.6,1,1,1,1,1,0,0,0,2011.792969,4373.901399,2011.792969,106.8270002,208.8517599,106.8270002,4373.901399,208.8517599,593.5749628,0.128257339,274.1938325,0.059246723,0.045518945,23.38043103,0.014033872,14.91438038,0.008952209,2011.792969,0.434700296,106.8270002,0.023082757,329.7673222,0.071254823,104.8645185,0.022658712,11.39104388,0.006837361,6.907511794,0.004146166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,636,293,25
"37",51199050206,"Virginia","York",1,2284,0,0,0,0,0,0,1.6,1,1,1,1,1,0,0,0,882.2250813,5364.24136,882.2250813,14.55487806,215.5331545,14.55487806,5364.24136,215.5331545,386.563357,0.058730379,649.8177776,0.098726493,0.042861276,45.29592714,0.019831842,8.094751083,0.003544112,882.2250813,0.13403602,14.55487806,0.002211315,105.2797502,0.0159951,75.5454407,0.011477581,0.738586534,0.000323374,1.325323135,0.000580264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,452,808,55
"38",51199050303,"Virginia","York",1,2161,0.0095238,0,0,0,0,0,7,1,1,1,1,1,0,0,0,998.6287855,3954.324995,998.6287855,96.45192158,618.003735,96.45192158,3954.324995,618.003735,479.7169654,0.083067873,259.6301902,0.044957609,0.030808085,18.62925527,0.008620664,10.90555064,0.00504653,998.6287855,0.172922733,96.45192158,0.016701631,150.8561668,0.02612228,53.12172919,0.009198568,2.402519576,0.001111763,2.713225647,0.001255542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,643,438,28
"39",51199050304,"Virginia","York",1,2022,0,0,0,0,0,0,5.4,1,1,1,1,1,0,0,0,4743.172418,5348.000001,4743.172418,685.704079,760.5798026,685.704079,5348.000001,760.5798026,1016.999997,0.190164547,150.9999989,0.028234854,0.038706058,28.11824273,0.013906154,12.18684072,0.006027122,4743.172418,0.886905837,685.704079,0.128216918,923.0703917,0.172601046,134.1448093,0.025083173,21.94289113,0.010852073,10.84131425,0.005361679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,1017,151,29
"40",51199050305,"Virginia","York",1,1215,0.0071562,0,0,0,0,0,4,1,1,1,1,1,0,0,0,810.3310745,1814.827822,810.3310745,45.95028544,142.4783661,45.95028544,1814.827822,142.4783661,194.6521232,0.060563822,251.2186475,0.07816386,0.051618397,45.72858448,0.037636695,4.694904935,0.003864119,810.3310745,0.252125412,45.95028544,0.014296915,76.22997358,0.0237181,119.1032457,0.037057637,23.56140712,0.019392105,1.99068205,0.001638421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,396,445,62
"41",51199050306,"Virginia","York",1,2187,0,0,0,0,0,0,7.4,1,1,1,1,1,0,0,0,2401.107091,3711.954812,2401.107091,339.089227,783.8759038,339.089227,3711.954812,783.8759038,684.4735765,0.139888325,329.4916024,0.067339383,0.021167618,63.36883211,0.028975232,102.1924656,0.046727236,2401.107091,0.490722888,339.089227,0.069300884,504.735665,0.103154642,190.8517788,0.039005064,51.49955991,0.023548038,65.22132828,0.029822281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,980,439,64
"42",51199050401,"Virginia","York",1,1240,0.0178788,0,0,0,0,0,1.5,1,1,1,1,1,0,0,0,2809.675572,3218.706135,2809.675572,356.8431652,443.7105806,356.8431652,3218.706135,443.7105806,683.5817362,0.207145981,144.2238926,0.04370421,0.02509122,25.25752146,0.020368969,0,0,2809.675572,0.85141684,356.8431652,0.108134292,597.1294969,0.180948332,104.7459833,0.031741207,20.12313452,0.016228334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,695,170,26
"43",51199050402,"Virginia","York",1,1346,0,0,0,0,0,0,3.8,1,1,1,1,1,0,0,0,3405.918662,3526.999978,3405.918662,361.3173048,367.8976239,361.3173048,3526.999978,367.8976239,601.0000013,0.170399774,80.99999901,0.022965693,0.014459881,0,0,0,0,3405.918662,0.965670162,361.3173048,0.102443239,585.3565967,0.165964445,76.17036326,0.02159636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,601,81,0
"44",51199050500,"Virginia","York",0,1052,0.0814189,0,0,0,1,1,17.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2959.999986,971.2524336,268.0000004,0.090540541,1338.000004,0.452027028,0.019256757,130.3654746,0.123921554,282.2852522,0.268331989,2959.999986,0.999999995,971.2524336,0.328125822,268.0000004,0.090540541,1338.000004,0.452027028,130.3654746,0.123921554,282.2852522,0.268331989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,268,1338,180
"45",51199050900,"Virginia","York",0,667,0.1247113,0,0,0,0,1,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038.68984,648.8075049,168.9324572,0.078028849,722.9350373,0.333919186,0.023057862,13.32106255,0.019971608,70.96882679,0.10640004,1296.677085,0.59892706,470.1028642,0.217137582,94.03486299,0.043434117,451.6821109,0.208629151,6.098987903,0.00914391,39.37286104,0.059029777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,180,774,15
"46",51199051000,"Virginia","York",0,1485,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2985.9145,675.3923475,483.204217,0.133851584,278.6722927,0.077194541,0.019645896,47.63727972,0.032078976,8.147163963,0.005486306,2155.642782,0.597130964,403.5047859,0.111774179,270.1729025,0.074840139,185.3119544,0.051332951,28.13672729,0.018947291,5.540424435,0.003730926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,686,327,64
"47",51199051100,"Virginia","York",1,2468,0,0,0,0,0,0,10.8,1,1,1,1,1,0,0,0,1550.996625,5457.873206,1550.996625,45.8596801,620.737252,45.8596801,5457.873206,620.737252,773.4911714,0.110831232,1288.413213,0.184612869,0.031705036,43.35155244,0.017565459,101.9085143,0.041291943,1550.996625,0.222237659,45.8596801,0.006571096,421.6677724,0.060419512,183.5449338,0.026299604,11.44461027,0.0046372,32.93565218,0.013345078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,969,1535,54
